,glac_name,glacier_id,surging,probability,training_data,validation
879,Innifonna,G018079E77679N,1,0.563224262545823,0,0
880,Richardsbreen,G017893E77712N,0,0.6775847527390679,,
881,Sørbullbreen,G017818E77933N,0,0.9093198729454495,,
882,Andrinebreen S,G017953E77933N,0,0.6903276144706634,,
883,Andrinebreen,G018010E77975N,0,0.9084074712791871,,
884,,G017811E77977N,1,0.6194959094127966,,
885,Brorbreen S,G017829E77994N,0,0.9740024916766951,,
886,Brorbreen N,G017826E78010N,0,0.9793127055104419,,
887,Passbreen,G017960E78014N,0,0.6059210034381782,,
888,Bjarmebreen,G018110E78005N,0,0.7025763482610269,,
889,Rurikbreen,G018209E78004N,0,0.9476757839950232,,
890,,G018287E78003N,0,0.5413686635713775,,
891,Baltbreen,G018285E77992N,0,0.9007896478851585,,
892,,G018293E77965N,0,0.5339137143205719,,
893,,G018327E77960N,1,0.6121501420222922,,
894,Åbreen,G018160E77985N,0,0.6795924679178696,,
895,,G017964E78067N,1,0.7234342139706975,,
896,,G017881E78066N,0,0.9526737695900271,,
897,Sveigbreen,G017687E78107N,1,0.6421111802101107,0,0
898,,G017953E78130N,1,0.6504251906043892,,
899,Skruisbreen,G017834E78139N,0,0.939151122801905,,
900,Skruisbreen,G017731E78159N,1,0.6798262238352163,0,2
901,Marmobreen,G017763E78180N,0,0.962784786678254,,
902,,G017748E78198N,0,0.7398379095987737,,
903,,G017604E78217N,0,0.846756165147686,,
904,Hellefonna N,G017651E78202N,0,0.9330388958471134,,
905,Hellefonna NW,G017572E78182N,0,0.7058811295232015,,
906,Hellefonna W,G017529E78173N,0,0.9800931473105156,,
907,Jinnbreen,G017562E78141N,0,0.994495333756394,,
908,Innerbreen,G017445E78115N,0,0.9933432818949619,,
909,Oppdalsbreen,G017474E78090N,0,0.9883247854790973,,
910,Såtebreen,G017491E78063N,0,0.9790114043169156,,
911,,G017465E78048N,0,0.7452465197115945,,
912,,G017442E78040N,0,0.8972013609914535,,
913,U/Storknausen E,G017421E78021N,0,0.9529442931387336,,
914,U/Storknausen S,G017435E78009N,1,0.6495557595147087,,
915,U/Storknausen W,G017359E78022N,0,0.8579109794547278,,
916,U/Slottsmøya,G017357E78039N,0,0.7247063851332387,,
917,Skutbreen,G017558E78047N,0,0.9872197203647974,,
918,,G017653E78044N,1,0.5983539021382016,,
919,,G017668E78050N,0,0.7644286443489967,,
920,Vråbreen,G017693E78066N,0,0.5480027743935253,,
921,,G017572E78019N,0,0.9247812241476412,,
922,,G017117E78046N,0,0.9655311130034077,,
923,,G017080E78045N,0,0.9410974738962702,,
924,Vegbreen E,G017038E78036N,0,0.97107052107878,,
925,Marthabreen,G016778E78001N,0,0.9852825944010035,,
926,,G016617E78014N,0,0.9316686400923764,,
927,,G016537E78017N,0,0.9889355490633515,,
928,,G016470E78010N,0,0.9837040662086874,,
929,Slakbreen,G016584E77967N,0,0.8024567050193318,,
930,Gibsonbreen,G015969E78068N,0,0.97420772694674,,
931,Ayerbreen,G015993E78077N,0,0.9296138446264622,,
932,Ayerbreen,G015958E78082N,0,0.9728927097799988,,
933,Scott Turnerbreen,G015894E78097N,0,0.8666812565114306,,
934,Altbreen,G016115E78232N,0,0.959826863766307,,
935,Blekumbreen,G016068E78246N,0,0.9829559553970704,,
936,Tellbreen,G016186E78253N,0,0.8278068827315961,,
937,Mälarbreen,G016050E78266N,0,0.920393056968169,,
938,Brandtbreen,G015996E78284N,0,0.9707527616695734,,
939,Knorringbreen,G016053E78300N,0,0.8909246743556544,,
940,,G016103E78311N,1,0.6642643923520741,,
941,Blackbreen,G016111E78287N,0,0.9692101809942404,,
942,Fangenbreen,G016185E78267N,0,0.946879449043102,,
943,,G016215E78238N,0,0.7777828908255685,,
944,,G016225E78224N,0,0.920950988791796,,
945,,G016282E78222N,0,0.7632645958841023,,
946,,G015842E78267N,0,0.7685438713042446,,
947,,G015882E78533N,0,0.8031202234701903,,
948,Frostisen,G015689E78547N,1,0.6423865774006396,0,0
949,,G015717E78701N,0,0.9919414521457638,,
950,Elsabreen,G016362E78685N,0,0.7931446840945624,,
951,Sophusbreen,G015661E78857N,0,0.8183917267643601,,
952,Fyrisbreen,G015551E78953N,0,0.7996502173111673,,
953,Hodsbreen,G015533E78986N,0,0.7835566119309654,,
954,,G015548E79006N,1,0.586050614888505,,
955,,G015835E79029N,0,0.931883901581433,,
956,,G016435E79072N,0,0.972623266578894,,
957,,G016460E79061N,1,0.6669139342729268,,
958,,G016532E79055N,0,0.931974386657858,,
959,,G016571E79056N,0,0.9738074185323186,,
960,Sanderbreen,G016549E79082N,0,0.9953685084228201,,
961,Pagetbreen,G016566E79095N,0,0.7998257416518192,,
962,Smutsbreen,G016747E79074N,0,0.9929414521457638,,
963,Smutsbreen,G016683E79023N,0,0.9814652198984788,,
964,,G016568E78989N,0,0.8275836719036309,,
965,,G016520E79003N,0,0.9391942997172956,,
